ANO;NOME_SALA;REGISTRO_ANCINE;MUNICIPIO;UF;STATUS
2014;3 AMÉRICAS 01;5002041;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 02;5002040;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 03;5002042;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 04;5002043;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 05;5002038;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 06;5002044;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 07;5002045;CUIABÁ;MT;FECHADA
2014;3 AMÉRICAS 08;5002039;CUIABÁ;MT;FECHADA
2014;ABC PLAZA 1;5000669;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 10;5000678;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 2;5000670;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 3;5000671;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 4;5000672;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 5;5000673;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 6;5000674;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 7;5000675;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 8;5000676;SANTO ANDRÉ;SP;ABERTA
2014;ABC PLAZA 9;5000677;SANTO ANDRÉ;SP;ABERTA
2014;AEROGION 1;5000985;PORTO ALEGRE;RS;FECHADA
2014;AEROGION 2;5000986;PORTO ALEGRE;RS;FECHADA
2014;AEROGION 3;5000987;PORTO ALEGRE;RS;FECHADA
2014;AFA CINE UNIMED 01;5002629;CACHOEIRO DE ITAPEMIRIM;ES;ABERTA
2014;AFA CINE UNIMED 02;5002630;CACHOEIRO DE ITAPEMIRIM;ES;ABERTA
2014;AGUA VERDE 1;5002062;CURITIBA;PR;ABERTA
2014;AGUA VERDE 2;5002063;CURITIBA;PR;ABERTA
2014;AGUAS CLARAS I;5001888;BRASÍLIA;DF;FECHADA
2014;AGUAS CLARAS II;5001889;BRASÍLIA;DF;FECHADA
2014;AGUAS CLARAS III;5001890;BRASÍLIA;DF;FECHADA
2014;AGUAS CLARAS IV;5001887;BRASÍLIA;DF;FECHADA
2014;ALAMEDA SHOPPING 01;5002441;SÃO PAULO;SP;FECHADA
2014;ALAMEDA SHOPPING 02;5002444;SÃO PAULO;SP;FECHADA
2014;ALAMEDA SHOPPING 03;5002440;SÃO PAULO;SP;FECHADA
2014;ALAMEDA SHOPPING 04;5002442;SÃO PAULO;SP;FECHADA
2014;ALAMEDA SHOPPING 05;5002443;SÃO PAULO;SP;FECHADA
2014;ALEGRE CINEMA;5001982;ALEGRE;ES;FECHADA
2014;ANÁLIA FRANCO - SALA 01;5000792;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 02;5000793;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 03;5000794;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 04;5000795;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 05;5000796;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 06;5000797;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 07;5000798;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 08;5000799;SÃO PAULO;SP;ABERTA
2014;ANÁLIA FRANCO - SALA 09;5000800;SÃO PAULO;SP;ABERTA
2014;ANÁPOLIS 1;5003617;ANÁPOLIS;GO;ABERTA
2014;ANÁPOLIS 2;5003618;ANÁPOLIS;GO;ABERTA
2014;ANÁPOLIS 3;5003619;ANÁPOLIS;GO;ABERTA
2014;ANÁPOLIS 4;5003620;ANÁPOLIS;GO;ABERTA
2014;ANÁPOLIS 5;5003621;ANÁPOLIS;GO;ABERTA
2014;AQUARIUS 01;5002029;MARÍLIA;SP;FECHADA
2014;AQUARIUS 02;5002032;MARÍLIA;SP;FECHADA
2014;AQUARIUS 03;5002030;MARÍLIA;SP;FECHADA
2014;AQUARIUS 04;5002031;MARÍLIA;SP;FECHADA
2014;AQUARIUS 05;5002033;MARÍLIA;SP;FECHADA
2014;ARAPIRACA BRA 01;5004483;ARAPIRACA;AL;ABERTA
2014;ARAPIRACA BRA 02;5004484;ARAPIRACA;AL;ABERTA
2014;ARAPIRACA BRA 03;5004485;ARAPIRACA;AL;ABERTA
2014;ARAPIRACA BRA 04;5004486;ARAPIRACA;AL;ABERTA
2014;ARAPIRACA BRA 05;5004487;ARAPIRACA;AL;ABERTA
2014;ARAPIRACA BRA 06;5004488;ARAPIRACA;AL;ABERTA
2014;ARARAS SALA 1;5004199;ARARAS;SP;ABERTA
2014;ARARAS SALA 2;5004200;ARARAS;SP;ABERTA
2014;ARAÇATUBA I;5001025;ARAÇATUBA;SP;ABERTA
2014;ARAÇATUBA III;5002018;ARAÇATUBA;SP;ABERTA
2014;ARAÇUTABA II;5001026;ARAÇATUBA;SP;ABERTA
2014;ARAÚJO MULTIPLEX VIA VERDE 01;5003368;RIO BRANCO;AC;ABERTA
